values	weights
Mihaela	1
Mija	1
Milay	1
Mileyna	1
Milla	1
Mima	1
Mimi	1
Minou	1
Minu	1
Miray	1
Mirel	1
Miria	1
Mirislaidys	1
Mirja	1
Mirna	1
Miryam	1
Misha	1
Monika	1
Myli	1
MĂĽjgan	1
Nada	1
Nadia	1
Naida	1
Nairobi	1
Nala-Marie	1
Nala-Sophie	1
Nalah	1
Nalia	1
Nalin	1
Namika	1
Narin	1
Navishna	1
Naya	1
Nea	1
Neele	1
Nehir	1
Nejme	1
Nela	1
Neola	1
Nessa	1
NeĂŻla	1
Ngoc	1
Nicole-Marie	1
Nieke	1
Nikita	1
Nilia	1
Nilma	1
Nixie	1
Noam	1
Noe	1
Noemi-Andreea	1
Nola	1
Nouban	1
Nubia	1
Nura	1
Nuray	1
Odette	1
Olympia	1
OphĂelie	1
Pallavi	1
Paloma	1
Paola	1
Pauline-Charlotte	1
Petroula	1
Philina	1
Philine	1
Pina	1
Poema	1
Polina	1
Priska	1
PĂenĂelope	1
Rafa	1
Rahel	1
RahĹźan	1
Ramatou	1
Rania	1
Ranja	1
Rayan	1
Rebecca	1
Rebekka	1
RenĂee	1
Reyyan	1
Riem	1
Rita	1
Ritzy	1
Rivka	1
Riya	1
Romie	1
Rona	1
Rosario	1
Rosie	1
Rosil	1
Royalty	1
Roza	1
Rugayya	1
RĂeka	1
Sabiha	1
Safiah	1
Safiya	1
Safya	1
Saime	1
Sajida	1
Salome	1
Samira	1
Sanaa	1
Sarenur	1
Sati	1
Scarlet	1
Schams-Nour	1
Selia	1
Selina	1
Sema	1
Seraphina	1
Sevdalina	1
Sevde	1
Sevgi-Peri	1
Seyda	1
Sezim	1
Shally	1
Shanaya	1
Shanaz	1
Shani	1
Shariya	1
Shela	1
Sherin	1
Shermin-Frida	1
Shilou	1
Shreshta	1
Siana	1
Sidra	1
Sienna	1
Simay	1
Simona	1
Sina	1
Siya	1
Skadi	1
Skylar	1
Snit	1
Sofie	1
SolĂea	1
Sonea	1
Sonja	1
Sophie-Leonie	1
Soufana	1
Soula	1
Souline	1
Stela	1
Su	1
Subira	1
Suela	1
Suji	1
Suzanna	1
Svenja	1
Tahira	1
Tahni	1
Tajra	1
Tala	1
Talee	1
Taleen	1
Talin	1
Talina	1
Talise	1
Talvi	1
Talya	1
Tamila	1
Tamina	1
Tanem	1
Tara	1
Tekla	1
Tena	1
Teresa	1
Tessa	1
Thalea	1
Thalia	1
