values	weights
 Yildirim	2493
 Faßbender	2489
 Kleemann	2489
 Weidemann	2489
 Kohn	2489
 Roß	2488
 Kayser	2483
 Gebhard	2479
 Lederer	2479
 Wolfram	2478
 Schmelzer	2469
 Obst	2469
 Stelzer	2469
 Heide	2467
 Dittmar	2466
 Pätzold	2466
 Schuhmann	2466
 Kamp	2465
 Höppner	2458
 Meinhardt	2455
 Hofmeister	2453
 Mundt	2452
 Schnitzler	2446
 Abraham	2447
 Jacobsen	2445
 Zeitler	2441
 Diener	2441
 Kropp	2439
 Kreutz	2439
 Glöckner	2437
 Erhardt	2433
 Olbrich	2432
 Böck	2428
 Reiner	2428
 Mattern	2428
 Dahmen	2425
 Drexler	2424
 Biedermann	2424
 Yildiz	2424
 Herbert	2422
 Lammers	2422
 Rauh	2419
 Winkel	2418
 Jankowski	2416
 Salzmann	2416
 Tiemann	2416
 Gebert	2414
 Völkel	2412
 Nissen	2411
 Uhlmann	2408
 Sänger	2405
 Carstens	2405
 Bornemann	2402
 Donath	2400
 Schönfelder	2399
 Klassen	2397
 Greve	2396
 Reiche	2396
 Frei	2395
 Rieder	2395
 Engelke	2394
 Loch	2392
 Degen	2391
 Pelz	2390
 Zielke	2390
 Schmalz	2389
 Preiß	2387
 Janz	2383
 Kiel	2383
 Hamacher	2380
 Rink	2380
 Stricker	2379
 Luther	2377
 Lamprecht	2372
 Leitner	2372
 Pelzer	2371
 Knop	2370
 Öztürk	2371
 Dombrowski	2367
 Glück	2367
 Özdemir	2362
 Stork	2357
 Storch	2349
 Hans	2349
 Schuller	2349
 Weigl	2347
 Wrobel	2346
 Vogelsang	2345
 Wegmann	2344
 Seibold	2343
 Franken	2342
 Siewert	2339
 Häfner	2337
 Radke	2336
 Anton	2336
 Weinhold	2335
 Bretschneider	2332
 Scheuermann	2327
 Welter	2324
 Meissner	2323
 Matthies	2322
 Bieber	2321
 Beckers	2316
 Stegmann	2306
 Matz	2303
 Welz	2301
 Ley	2298
 Münster	2298
 Warnecke	2296
 Eichner	2293
 Carl	2293
 Gries	2293
 Kleiner	2290
 Christoph	2288
 Gall	2288
 Rüger	2289
 Hoffmeister	2287
 Schlösser	2285
 Gerken	2281
 Knecht	2281
 Bräutigam	2280
 Rücker	2279
 Grothe	2278
 Streit	2276
 Friesen	2275
 Manz	2274
 Borchardt	2273
 Dogan	2272
