values	weights
Ramjohn	1
Randall	1
Rangitukia	1
Raphael	1
Ray	1
Rayan	1
Recep	1
Reda	1
Reiner	1
Reinhold	1
Remi	1
Ren	1
RenĂe	1
Rigo	1
Robin	1
Rohan	1
Romeo	1
Roy	1
Ruben	1
Rudolf	1
Rufane	1
Ruozhu	1
Ryan	1
Saaid	1
Safir	1
Said	1
Salko	1
Salvatore	1
Samu	1
Samweis	1
Sante	1
Santiago	1
Santijano	1
Sariannidis	1
Sarp	1
Sascha	1
Sathea	1
Sattva	1
Sayere	1
Sean	1
Sebastiaan	1
Sejad	1
Selian	1
Seong-Ju	1
Sercan	1
Serge	1
SergeeviÄŤ	1
Sergej	1
Sergio	1
Shadi	1
Shane	1
Shen	1
Siegfried	1
Sigi	1
Sih-Han	1
Silvester	1
Simba	1
Songthai	1
Sophie	1
Sora	1
Steffen	1
Stephan	1
Stojan	1
Stoyanov	1
SĂ¶nke	1
SĂĽleyman	1
Taavi	1
Taciddin	1
Taddeo	1
Tahir	1
Taiowa	1
Talal	1
Tamil	1
Tanamal	1
Teoman	1
Thando	1
Thanushan	1
Thees	1
Theodore	1
Thies	1
Thorben	1
Thorsten	1
Tiago	1
Tiberius	1
Tibi	1
Tibor	1
Tidiane	1
Tillmann	1
Tim	1
Timothy	1
TimĂeo	1
Tin	1
Tiziano	1
Tommaso	1
Trifun	1
Tselekis	1
Tuncay	1
Ubbo	1
Ulrich	1
Vahagn	1
Vahit	1
Valentino	1
Vicedo	1
Vicent	1
Victor	1
Viktor	1
Vincenzo	1
Vittore	1
Volker	1
Vui	1
Vuyo	1
Wali	1
Werner	1
Wessam	1
WiesĹ‚aw	1
Willy	1
Wim	1
Witold	1
Wolfang	1
Yamin	1
Yanis	1
Yoshua	1
Yusuf	1
Zac	1
Zaid	1
Zalmay	1
Ze	1
Zhu	1
Ălvaro	1
Ă‚kif	1
Ă‡ahit	1
Ă‰mile	1
ČĂ®rin	1
Akuchonga	1
Ando	1
Andreas	1
Andrei	1
Anton	1
Antonius	1
Ari	1
Arthur	1
Ashita	1
Ashu	1
Augustinus	1
Aydin	1
Balthazar	1
Bang	1
Bas	1
Beau	1
Bela	1
Ben	1
Benedict	1
Benedikt	1
Benjamin	1
Bennett	1
Bernhard	1
BĂela	1
Carlos	1
Cemil	1
Charles	1
Charly	1
Claus	1
Clemens	1
Clement	1
Conrad	1
Constantin	1
Cosmo	1
Couturier	1
Dante	1
