values	weights
GRZEŚKOWIAK	3327
KRUCZEK	3327
WOŁOSZYN	3318
SZUBA	3317
MIERZWA	3316
MACKIEWICZ	3315
PEŁKA	3314
POLAŃSKA	3308
ROMAN	3308
KULIŃSKA	3307
URBANOWICZ	3306
BISKUP	3301
SCHMIDT	3299
POGORZELSKA	3297
SOBOTA	3293
ŚWIĄTKOWSKA	3290
KMIEĆ	3289
STAWICKA	3287
PIWOWARSKA	3283
CZEKAJ	3279
ŚMIGIELSKA	3277
HOFFMANN	3273
BANASZEK	3271
GUT	3270
ŚWIDER	3267
LITWIN	3264
KAWECKA	3263
KRASOWSKA	3249
RATAJCZYK	3223
ROMANIUK	3214
ALEKSANDROWICZ	3208
FURMAN	3206
GRUDZIŃSKA	3205
KWIATEK	3196
ROSZAK	3194
LORENC	3179
MAKUCH	3176
ROSZKOWSKA	3168
WERNER	3165
TOKARCZYK	3163
WIŚNIOWSKA	3162
IZDEBSKA	3159
SZWARC	3156
JUSZCZYK	3153
ŁUKASZEWICZ	3153
SKORUPA	3152
NAPIERAŁA	3149
SZAREK	3144
STUDZIŃSKA	3142
SIWIEC	3138
SZOT	3137
BOGACZ	3134
LISZKA	3131
JÓŹWIK	3111
PIĘTKA	3109
KAWKA	3106
KNAP	3106
KRUKOWSKA	3098
TUROWSKA	3086
JAKUBCZYK	3085
BORYS	3075
JEZIORSKA	3074
KARCZ	3072
ŻUCHOWSKA	3060
WACH	3057
GACEK	3053
WRZESIŃSKA	3053
LANGE	3050
KUSIAK	3049
KĘDZIOR	3046
KUKLA	3038
KRÓLAK	3037
PAPROCKA	3034
ROŻEK	3032
SIDOR	3024
KRASZEWSKA	3019
BOBROWSKA	3017
MAŃKA	3014
KRUSZYŃSKA	3009
GRODZKA	3002
CICHA	2990
TKACZ	2982
MIELCAREK	2981
SZELIGA	2977
ŚPIEWAK	2968
KORCZAK	2967
NIEDZIELA	2967
RUSEK	2967
WOLNA	2967
WOJDA	2966
BOGDAŃSKA	2964
KOSMALA	2964
KORZENIEWSKA	2961
MAZIARZ	2955
GĄSIOREK	2952
SMOLEŃ	2949
GRABARCZYK	2945
RYBKA	2945
MAJKOWSKA	2944
MAŁKOWSKA	2944
GRZYBEK	2943
SZYMANEK	2939
FILIP	2934
ROMAŃSKA	2934
RESZKA	2932
JAKUBIEC	2926
WAGNER	2925
RADZISZEWSKA	2919
LIPIEC	2917
RZEPECKA	2916
PERKOWSKA	2913
OLECH	2910
STASZAK	2908
WASIELEWSKA	2906
WAJDA	2901
PĘKALA	2894
SZKUDLAREK	2893
NOWIŃSKA	2890
PISAREK	2889
SZOPA	2888
PLICHTA	2887
LEWIŃSKA	2886
BARTOSZEK	2883
ROGOZIŃSKA	2883
ŚLEDŹ	2883
GŁADYSZ	2880
POTOCKA	2880
KOZAKIEWICZ	2878
KAPUŚCIŃSKA	2874
ADAMIEC	2873
DROŻDŻ	2872
GOLA	2867
RODAK	2866
RACZKOWSKA	2863
KONARSKA	2862
BUGAJSKA	2859
DUSZYŃSKA	2858
KULPA	2858
KAŹMIERSKA	2857
WOJTOWICZ	2857
KUPIEC	2856
PIECH	2855
KAWALEC	2851
JANCZAK	2848
SKONIECZNA	2848
OSOWSKA	2844
KOCHAŃSKA	2837
PASZKIEWICZ	2836
BANASZAK	2833
BILIŃSKA	2819
KURZAWA	2816
ROKICKA	2816
OLSZAK	2813
SZYMANOWSKA	2813
STOKŁOSA	2810
SUŁKOWSKA	2804
WYRZYKOWSKA	2803
KALIŃSKA	2798
SUCHECKA	2792
PIERZCHAŁA	2791
BRZESKA	2790
PUCHAŁA	2790
BUGAJ	2789
KĘPKA	2789
WRZOSEK	2787
KOKOT	2782
SOLECKA	2780
KAROLAK	2777
GOLIŃSKA	2771
BALICKA	2770
WASZKIEWICZ	2767
WÓJCIAK	2766
AMBROZIAK	2763
JASKULSKA	2762
PASEK	2759
LASEK	2757
