A 160	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. IMPORT INDYW	2002	1598.00	75.00	5	BENZYNA
124D	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	1988	2479.00	66.00	5	OLEJ NAPĘDOWY
A 140	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. IMPORT INDYW	2003	1397.00	60.00	5	BENZYNA
E 240	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2004	2597.00	130.00	5	BENZYNA
E 200	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2010	2143.00	100.00	5	OLEJ NAPĘDOWY
C180 KOMPRESSOR	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2008	1796.00	115.00	5	BENZYNA
C 220	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. ZAKUPIONY W KRAJU	1994	2155.00	70.00	5	OLEJ NAPĘDOWY
A 160	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. IMPORT INDYW	1998	1598.00	75.00	5	BENZYNA
B 180 CDI	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2007	1992.00	80.00	5	OLEJ NAPĘDOWY
C 220 CDI	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2008	2148.00	125.00	5	OLEJ NAPĘDOWY
SL 500	SAMOCHÓD OSOBOWY	KABRIOLET	UŻYW. IMPORT INDYW	2000	4966.00	225.00	2	BENZYNA
A	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. IMPORT INDYW	2006	1992.00	80.00	5	OLEJ NAPĘDOWY
C 200 KOMPRESSOR	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2004	1796.00	120.00	5	BENZYNA
A 170	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. IMPORT INDYW	2003	1689.00	70.00	5	OLEJ NAPĘDOWY
C 220 CDI	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2010	2143.00	125.00	5	OLEJ NAPĘDOWY
124 D 200	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	NOWY ZAKUPIONY W KRAJU	1988	1997.00	55.00	5	OLEJ NAPĘDOWY
MB 100 D-KB	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	1994	2399.00	55.00	8	OLEJ NAPĘDOWY
C 180	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	NOWY ZAKUPIONY W KRAJU	2014	1595.00	115.00	5	BENZYNA
GLS 350 D 4MATIC	SAMOCHÓD OSOBOWY	KOMBI	NOWY ZAKUPIONY W KRAJU	2016	2987.00	190.00	7	OLEJ NAPĘDOWY
A 140	SAMOCHÓD OSOBOWY	HATCHBACK	UŻYW. ZAKUPIONY W KRAJU	2002	1397.00	60.00	5	BENZYNA
190 SL	SAMOCHÓD OSOBOWY	KABRIOLET	UŻYW. IMPORT INDYW	1963	1897.00	999.00	999	OLEJ NAPĘDOWY
E 320 CDI	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2005	2987.00	165.00	5	OLEJ NAPĘDOWY
E 220 CDI	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2003	2148.00	90.00	5	OLEJ NAPĘDOWY
S 320 CDI	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2002	3222.00	150.00	5	OLEJ NAPĘDOWY
CLA 220 4MATIC	SAMOCHÓD OSOBOWY	KOMBI	NOWY ZAKUPIONY W KRAJU	2018	1991.00	135.00	5	BENZYNA
E 250	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2009	2143.00	150.00	5	OLEJ NAPĘDOWY
E 250 D	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	1993	2497.00	83.00	5	OLEJ NAPĘDOWY
A 160	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. ZAKUPIONY W KRAJU	1998	1598.00	75.00	5	BENZYNA
C 180 KOMPRESSOR	SAMOCHÓD OSOBOWY	COUPE	UŻYW. IMPORT INDYW	2002	1796.00	105.00	4	BENZYNA
124	SAMOCHÓD OSOBOWY	KABRIOLET	UŻYW. IMPORT INDYW	1994	2199.00	110.00	4	BENZYNA
A 180 D	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	NOWY ZAKUPIONY W KRAJU	2019	1461.00	85.00	5	OLEJ NAPĘDOWY
E 320 CDI	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2003	3222.00	150.00	5	OLEJ NAPĘDOWY
208	SAMOCHÓD OSOBOWY	COUPE	UŻYW. IMPORT INDYW	1999	2295.00	142.00	4	OLEJ NAPĘDOWY
C 200 CDI	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2004	2148.00	90.00	5	OLEJ NAPĘDOWY
VITO V 220 CDI	SAMOCHÓD OSOBOWY	WIELOZADANIOWY	UŻYW. ZAKUPIONY W KRAJU	2002	2151.00	75.00	4	OLEJ NAPĘDOWY
S 500 4MATIC	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	NOWY ZAKUPIONY W KRAJU	2014	4663.00	335.00	5	BENZYNA
E 220 CDI	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2009	2143.00	125.00	5	OLEJ NAPĘDOWY
C 200 CDI	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. IMPORT INDYW	2006	2148.00	90.00	5	OLEJ NAPĘDOWY
GLC 200 4MATIC	SAMOCHÓD OSOBOWY	HATCHBACK	NOWY ZAKUPIONY W KRAJU	2019	1991.00	145.00	5	BENZYNA
W 204 1.8	SAMOCHÓD OSOBOWY	KOMBI	UŻYW. ZAKUPIONY W KRAJU	2009	1796.00	115.00	5	BENZYNA
211 1,8	SAMOCHÓD OSOBOWY	KARETA (SEDAN)	UŻYW. IMPORT INDYW	2004	1796.00	120.00	5	BENZYNA
